Name|Website|Location
Discord|https://discord.com|San Francisco, California, USA
Google|https://about.google/|Googleplex, Mountain View, California , USA
Openly|https://openly.com/|Boston, Massachusetts, USA
BlueLabs|https://careers.bluelabs.eu/|San Ġiljan, Malta, EU
Paddle|https://www.paddle.com|London, UK
Block|https://block.xyz|San Francisco, California, USA
CGI|https://www.cgi.com|New York, New York, USA
Voltron Data|https://voltrondata.com| Mountain View, California, USA
Kargo|https://www.kargo.com|New York, USA
Riskified|http://www.riskified.com|New York, USA
HUMAN|http://www.humansecurity.com|New York, USA
Augury|http://www.augury.com|New York, USA
Trail of Bits|https://www.trailofbits.com|New York, USA
Own Company|http://www.owndata.com|New York, USA
Philo|http://philo.com|New York, USA
Huntress|https://huntress.com|New York, USA
Route|https://www.route.com|New York, USA
Personio|https://www.personio.com|New York, USA
PEAK6|http://www.peak6.com|New York, USA
Cockroach Labs|http://www.cockroachlabs.com|New York, USA
Spring Health|https://www.springhealth.com|New York, USA
EquityZen|https://www.equityzen.com|New York, USA
CoreWeave|http://www.coreweave.com|New York, USA
SoFi|https://www.sofi.com|New York, USA
Comcast Advertising|https://comcastadvertising.com|New York, USA
Datadog|https://www.datadoghq.com|New York, USA
Outbrain|https://www.outbrain.com|New York, USA
Zeta Global|http://www.zetaglobal.com|New York, USA
DISQO|http://disqo.com|New York, USA
GoodRx|http://www.goodrx.com|New York, USA
Cloudflare|https://www.cloudflare.com|New York, USA
dbt Labs|https://www.getdbt.com|New York, USA
Snap Inc.|https://snap.com|New York, USA
Codecademy (a Skillsoft company)|http://www.codecademy.com|New York, USA
Chronosphere|http://chronosphere.io|New York, USA
Movable Ink|http://www.movableink.com|New York, USA
Yext|https://www.yext.com|New York, USA
Ro|https://ro.co|New York, USA
Capital One|https://www.capitalonecareers.com|New York, USA
Luxury Presence|http://www.luxurypresence.com|New York, USA
Coro|http://www.coro.net|New York, USA
commercetools|https://commercetools.com|New York, USA
Warner Bros. Discovery|https://wbd.com|New York, USA
Qualtrics|https://www.qualtrics.com|New York, USA
OpenX Technologies|http://www.openx.com|New York, USA
NextRoll|https://nextroll.com|New York, USA
Calm|http://calm.com|New York, USA
Hinge|http://hinge.co|New York, USA
NBCUniversal|https://www.nbcunicareers.com|New York, USA
Particle Health|https://www.particlehealth.com|New York, USA
Optimum|http://www.optimum.com|New York, USA
MarketAxess|https://www.marketaxess.com|New York, USA
VideoAmp|http://videoamp.com|New York, USA
Digital Turbine|http://www.digitalturbine.com|New York, USA
Crunchyroll|https://www.crunchyroll.com/about/who|New York, USA
Squarespace|http://www.squarespace.com|New York, USA
Rokt|http://www.rokt.com|New York, USA
DraftKings|https://draftkings.com|New York, USA
Apex Fintech Solutions|https://apexfintechsolutions.com|New York, USA
Wonders|http://www.wondersco.com|New York, USA
Dropbox|http://www.dropbox.com|New York, USA
SeatGeek|http://seatgeek.com|New York, USA
MoneyLion|https://www.moneylion.com|New York, USA
Clear Street|https://clearstreet.io|New York, USA
Tempus AI|http://www.tempus.com|New York, USA
Merck|https://merck.com|New York, USA
Notion|https://notion.so|New York, USA
EliseAI|http://www.eliseai.com|New York, USA
9fin|http://9fin.com|New York, USA
Mirakl|http://www.mirakl.com|New York, USA
Jackpocket|https://jackpocket.com|New York, USA
Built In|http://builtin.com|New York, USA
DRW|http://www.drw.com|New York, USA
Flume Health|http://flumehealth.com|New York, USA
Hivebrite|https://hivebrite.com|New York, USA
Madhive|http://madhive.com|New York, USA
JuiceMedia.AI|https://www.juicemedia.ai|New York, USA
Moov Financial|https://moov.io|New York, USA
DICE|http://dice.fm|New York, USA
Verkada Inc|http://www.verkada.com|New York, USA
Dailymotion|https://dailymotion.com|New York, USA
Lightning AI|http://lightning.ai|New York, USA
DigitalOcean|http://www.digitalocean.com|New York, USA
CB Insights|http://www.cbinsights.com|New York, USA
The D. E. Shaw Group|https://www.deshaw.com|New York, USA
GOAT Group|http://www.goatgroup.com|New York, USA
Yotpo|http://www.yotpo.com|New York, USA
Paxos|https://paxos.com|New York, USA
Chicory|http://www.chicory.co|New York, USA
Parsley Health|https://www.parsleyhealth.com|New York, USA
Flowcode ®|https://www.flowcode.com|New York, USA
Moxxi Digital|http://www.moxxi.io|New York, USA
JWP (JW Player)|http://www.jwplayer.com|New York, USA
SevenRooms|http://www.sevenrooms.com|New York, USA
Iterable|http://iterable.com|New York, USA
Simulmedia|http://www.simulmedia.com|New York, USA
Rho|http://rho.co|New York, USA
Alfred|https://helloalfred.com|New York, USA
Signal AI|http://www.signal-ai.com|New York, USA
Arena|https://www.arena-ai.com|New York, USA
Botify|http://www.botify.com|New York, USA
Causal|https://causal.app|New York, USA
Instawork|https://www.instawork.com|New York, USA
Ava Labs|https://avalabs.org|New York, USA
Anchorage Digital|https://www.anchorage.com|New York, USA
Runwise|http://www.runwise.com|New York, USA
GoGuardian|http://www.goguardian.com|New York, USA
FLASH|http://www.flashparking.com|New York, USA
VidMob|http://vidmob.com|New York, USA
Slice|http://slicelife.com|New York, USA
Collibra|https://collibra.com|New York, USA
DailyPay, Inc.|https://www.dailypay.com|New York, USA
Matillion|https://www.matillion.com|New York, USA
WeWork Technology|https://wework.com|New York, USA
Stocktwits|http://www.stocktwits.com|New York, USA
Namely|http://namely.com|New York, USA
LivePerson|http://www.liveperson.com|New York, USA
VirtualHealth|https://www.virtualhealth.com|New York, USA
FireHydrant|https://firehydrant.com|New York, USA
Deep Labs|https://www.deep-labs.com|New York, USA
Next Alpha|http://nextalpha.com|New York, USA
Bank of America|https://bankofamerica.com|New York, USA
Seam Social Labs|http://www.seamsociallabs.com|New York, USA
Passbase|https://www.passbase.com|New York, USA
Treno|http://www.treno.io|New York, USA
Notified|https://www.notified.com|New York, USA
dragondrop.cloud, Inc.|https://www.dragondrop.cloud|New York, USA
Common|http://www.common.com|New York, USA
Boxed|http://boxed.com|New York, USA
Tribune Publishing|http://www.tribpub.com|New York, USA
Citizen|http://www.citizen.com|New York, USA
Vimeo|https://vimeo.com|New York, USA
Wunderkind|https://www.wunderkind.co|New York, USA
Firedome|http://firedome.io|New York, USA
Paxful|https://paxful.com|New York, USA
BlockFi|https://blockfi.com|New York, USA
Tock|https://www.tockhq.com|New York, USA
nate|https://nate.tech|New York, USA
Waybridge|https://waybridge.com|New York, USA
The Lifetime Value Co.|https://www.ltvco.com|New York, USA
Fetch|https://fetch.com|New York, USA
Handshake|http://joinhandshake.com|New York, USA
Perimeter 81|https://www.perimeter81.com|New York, USA
Safekeep|http://www.safekeep.com|New York, USA
Artium|https://www.thisisartium.com|New York, USA
Olive|http://www.oliveinvest.com|New York, USA
HqO|http://www.hqo.com|New York, USA
Flexa|https://flexa.network|New York, USA
Yieldify|http://yieldify.com|New York, USA
OkCupid|https://www.okcupid.com|New York, USA
NS1, an IBM Company|http://ns1.com|New York, USA
8th Light|https://8thlight.com|New York, USA
Fiverr|https://www.fiverr.com|New York, USA
Splice|http://splice.com|New York, USA
HYPR|https://www.hypr.com|New York, USA
Paperless Post|http://www.paperlesspost.com|New York, USA
ADP|https://tech.adp.com/careers/locations/nyc|New York, USA
Sneakers Apps|https://sneakersapps.com|New York, USA
Kinship|http://kinship.co|New York, USA
Boingo Wireless|http://www.boingo.com|New York, USA
Geneva|https://geneva.com|New York, USA
Clinical Trial Media|http://clinicaltrialmedia.com|New York, USA
Figma|http://www.figma.com|New York, USA
Sigma Ratings|http://www.sigmaratings.com|New York, USA
Sorare|https://sorare.com|New York, USA
Nickelfox Inc. USA|https://www.nickelfox.com/usa|New York, USA
Hivelance Cryptocurrency Exchange Script Provider|https://www.hivelance.com/cryptocurrency-exchange-script|New York, USA
Bread Financial|https://www.breadfinancial.com|New York, USA
Policygenius|https://www.policygenius.com|New York, USA
Conductor|http://www.conductor.com|New York, USA
Arthur|http://www.arthur.ai|New York, USA
Donut|http://www.donut.com|New York, USA
Leap|http://leapinc.com|New York, USA
OnFrontiers, Inc.|http://onfrontiers.com|New York, USA
Pastel Network|https://pastel.network|New York, USA
Jampp|https://www.jampp.com|New York, USA
Zoomin|http://www.zoominsoftware.com|New York, USA
Perry Health|https://www.perryhealth.com|New York, USA
SpotOn|http://www.spoton.com|New York, USA
Axoni|https://axoni.com|New York, USA
Gloat|https://gloat.com|New York, USA
Uber|https://www.uber.com|New York, USA
Nulab|https://nulab.com|New York, USA
Website Development Company|https://www.websitesdevelopmentcompany.com|New York, USA
TOGGLE (Knabble, Inc.)|http://www.toggle.global|New York, USA
Aspen Capital|http://www.aspencapital.com|New York, USA
Kaltura|http://kaltura.com|New York, USA
Abacus|https://www.abacus.com|New York, USA
Stride Consulting|https://www.stridenyc.com|New York, USA
Carbon Five|https://www.carbonfive.com|New York, USA
Quantcast|http://www.quantcast.com|New York, USA
Koddi|http://www.koddi.com|New York, USA
Neuton|https://bell.one|New York, USA
Orum.io|https://orum.io|New York, USA
VCDoctor|https://vcdoctor.com|New York, USA
21.co|https://www.21.co|New York, USA
Website Development Company|https://www.websitedevelopmentcompany.org|New York, USA
Pinata|https://www.pinata.cloud|New York, USA
Stash|https://www.stash.com|New York, USA
Techolution|http://www.techolution.com|New York, USA
Whip Media|https://www.whipmedia.com|New York, USA
Vanta|https://www.vanta.com|New York, USA
RecSpot|https://www.therecspot.com|New York, USA
9Spokes International Limited|http://www.9spokes.com|New York, USA
S2 Labs|https://shreysharma.com|New York, USA
Paddle|https://paddle.com|New York, USA
iSQUARE Business Solution|https://www.isquarebs.com|New York, USA
Playback|http://www.getplayback.com|New York, USA
LiveAuctioneers|http://www.liveauctioneers.com|New York, USA
Pager|http://pager.com|New York, USA
Oscar Health|http://hioscar.com|New York, USA
BCG X|http://www.bcg.com/x|New York, USA
Deloitte Digital|http://www.deloittedigital.com|New York, USA
Etsy|https://www.etsy.com|New York, USA
Coinbase|http://www.coinbase.com|New York, USA
Ergatta|https://ergatta.com|New York, USA
Konstant Infosolutions||New York, USA
Winjit Inc|http://winjit.com|New York, USA
Website Development Company|https://www.websitedevelopmentindia.org|New York, USA
incident.io|https://incident.io|New York, USA
Decktopus|https://www.decktopus.com|New York, USA
Raise|https://www.raise.com|New York, USA
Unacast|https://www.unacast.com|New York, USA
Ogury|https://www.ogury.com|New York, USA
Holler|http://www.holler.io|New York, USA
Paperspace|https://www.paperspace.com|New York, USA
Nautilus Labs|https://nautiluslabs.com|New York, USA
Lukka|https://lukka.tech|New York, USA
Indium Software|https://www.indiumsoftware.com|New York, USA
The Infatuation & Zagat|http://theinfatuation.com|New York, USA
Benchmark Education|https://www.benchmarkeducation.com|New York, USA
Candy|https://candy.com|New York, USA
Microblink|https://microblink.com|New York, USA
Andersen Inc.|https://andersenlab.com|New York, USA
Mojo|https://www.mojo.com|New York, USA
Andersen Germany GmbH|https://andersenlab.de|New York, USA
VIZIO|http://www.vizio.com|New York, USA
Armix Group|https://armixgroup.com|New York, USA
